Date,Predicted_Close,Actual_Close,Upper_Bound,Lower_Bound
2026-02-24,15.4994,13.15,20.4298,10.569
2026-02-25,15.5316,13.32,20.4722,10.591
2026-02-26,15.5638,13.94,20.5146,10.613
2026-02-27,15.596,13.07,20.5571,10.6349
2026-03-02,15.6282,12.52,20.5995,10.6569
2026-03-03,15.6604,12.46,20.642,10.6788
2026-03-04,15.6927,12.46,20.6845,10.7009
2026-03-05,15.7249,11.79,20.727,10.7228
2026-03-06,15.7571,11.18,20.7694,10.7448
2026-03-09,15.7893,11.44,20.8119,10.7667
2026-03-10,15.8215,11.11,20.8543,10.7887
2026-03-11,15.8538,11.04,20.8969,10.8107
2026-03-12,15.886,10.55,20.9393,10.8327
2026-03-13,15.9182,10.3,20.9818,10.8546
