Date,Predicted_Close,Upper_Bound,Lower_Bound
2026-03-16,14.4037,18.9855,9.8219
2026-03-17,14.4179,19.0042,9.8316
2026-03-18,14.4322,19.0231,9.8413
2026-03-19,14.4464,19.0418,9.851
2026-03-20,14.4606,19.0605,9.8607
2026-03-23,14.4748,19.0792,9.8704
2026-03-24,14.489,19.098,9.88
2026-03-25,14.5033,19.1168,9.8898
2026-03-26,14.5175,19.1355,9.8995
2026-03-27,14.5317,19.1542,9.9092
2026-03-30,14.5459,19.173,9.9188
2026-03-31,14.5601,19.1917,9.9285
2026-04-01,14.5744,19.2105,9.9383
2026-04-02,14.5886,19.2292,9.948
