Date,Predicted_Close,Actual_Close,Upper_Bound,Lower_Bound
2026-02-24,271.2599,272.14,281.7034,260.8164
2026-02-25,271.3828,274.23,281.831,260.9346
2026-02-26,271.5056,272.95,281.9586,261.0526
2026-02-27,271.6284,264.18,282.0861,261.1707
2026-03-02,271.7513,264.72,282.2137,261.2889
2026-03-03,271.8741,263.75,282.3413,261.4069
2026-03-04,271.9969,262.52,282.4688,261.525
2026-03-05,272.1198,260.29,282.5964,261.6432
2026-03-06,272.2426,257.46,282.7239,261.7613
2026-03-09,272.3654,259.88,282.8515,261.8793
2026-03-10,272.4883,260.83,282.9791,261.9975
2026-03-11,272.6111,260.81,283.1066,262.1156
2026-03-12,272.7339,255.76,283.2342,262.2336
2026-03-13,272.8568,250.12,283.3618,262.3518
