Date,Predicted_Close,Upper_Bound,Lower_Bound
2026-03-16,259.8041,269.8066,249.8016
2026-03-17,259.8806,269.886,249.8752
2026-03-18,259.9572,269.9656,249.9488
2026-03-19,260.0338,270.0451,250.0225
2026-03-20,260.1103,270.1245,250.0961
2026-03-23,260.1869,270.2041,250.1697
2026-03-24,260.2634,270.2835,250.2433
2026-03-25,260.34,270.3631,250.3169
2026-03-26,260.4166,270.4426,250.3906
2026-03-27,260.4931,270.5221,250.4641
2026-03-30,260.5697,270.6016,250.5378
2026-03-31,260.6462,270.6811,250.6113
2026-04-01,260.7228,270.7606,250.685
2026-04-02,260.7994,270.8402,250.7586
