Date,Predicted_Close,Actual_Close,Upper_Bound,Lower_Bound
2026-02-24,6.8342,7.19,7.1055,6.5629
2026-02-25,6.7971,7.1,7.0669,6.5273
2026-02-26,6.76,7.38,7.0284,6.4916
2026-02-27,6.7229,7.12,6.9898,6.456
2026-03-02,6.6858,7.52,6.9512,6.4204
2026-03-03,6.6486,6.72,6.9125,6.3847
2026-03-04,6.6115,6.76,6.874,6.349
2026-03-05,6.5744,6.46,6.8354,6.3134
2026-03-06,6.5373,6.26,6.7968,6.2778
2026-03-09,6.5002,6.52,6.7583,6.2421
2026-03-10,6.4631,6.32,6.7197,6.2065
2026-03-11,6.426,6.43,6.6811,6.1709
2026-03-12,6.3889,6.15,6.6425,6.1353
2026-03-13,6.3517,6.03,6.6039,6.0995
