Date,Predicted_Close,Actual_Close,Upper_Bound,Lower_Bound
2026-01-30,241.0377,236.73,290.9325,191.1429
2026-02-02,241.5225,246.27,291.5177,191.5273
2026-02-03,242.0073,242.11,292.1028,191.9118
2026-02-04,242.4921,200.19,292.688,192.2962
2026-02-05,242.9769,192.5,293.2731,192.6807
2026-02-06,243.4617,208.44,293.8583,193.0651
2026-02-09,243.9464,216.0,294.4433,193.4495
2026-02-10,244.4312,213.57,295.0285,193.8339
2026-02-11,244.916,213.58,295.6136,194.2184
2026-02-12,245.4008,205.94,296.1988,194.6028
2026-02-13,245.8856,207.32,296.7839,194.9873
2026-02-17,246.3704,203.08,297.3691,195.3717
2026-02-18,246.8552,200.12,297.9542,195.7562
2026-02-19,247.34,203.37,298.5394,196.1406
2026-02-20,247.8248,200.15,299.1245,196.5251
2026-02-23,248.3096,196.6,299.7097,196.9095
2026-02-24,248.7944,213.84,300.2948,197.294
2026-02-25,249.2792,210.86,300.88,197.6784
2026-02-26,249.7639,203.68,301.465,198.0628
2026-02-27,250.2487,200.21,302.0502,198.4472
2026-03-02,250.7335,198.62,302.6353,198.8317
2026-03-03,251.2183,190.95,303.2205,199.2161
2026-03-04,251.7031,202.07,303.8056,199.6006
2026-03-05,252.1879,199.45,304.3908,199.985
2026-03-06,252.6727,192.43,304.9759,200.3695
2026-03-09,253.1575,202.68,305.5611,200.7539
2026-03-10,253.6423,203.23,306.1463,201.1383
2026-03-11,254.1271,204.83,306.7314,201.5228
2026-03-12,254.6119,197.74,307.3166,201.9072
2026-03-13,255.0967,193.39,307.9017,202.2917
