Date,Predicted_Close,Actual_Close,Upper_Bound,Lower_Bound
2026-02-24,22.2293,21.0,24.6879,19.7707
2026-02-25,22.2761,21.47,24.7398,19.8124
2026-02-26,22.3228,21.86,24.7917,19.8539
2026-02-27,22.3696,20.74,24.8437,19.8955
2026-03-02,22.4164,20.91,24.8957,19.9371
2026-03-03,22.4632,20.47,24.9476,19.9788
2026-03-04,22.5099,20.71,24.9995,20.0203
2026-03-05,22.5567,20.37,25.0515,20.0619
2026-03-06,22.6035,19.86,25.1034,20.1036
2026-03-09,22.6502,19.69,25.1553,20.1451
2026-03-10,22.697,19.76,25.2073,20.1867
2026-03-11,22.7438,19.65,25.2593,20.2283
2026-03-12,22.7906,19.22,25.3112,20.27
2026-03-13,22.8373,18.9,25.3631,20.3115
