Date,Predicted_Close,Upper_Bound,Lower_Bound
2026-03-16,21.9534,24.3814,19.5254
2026-03-17,21.9893,24.4213,19.5573
2026-03-18,22.0252,24.4612,19.5892
2026-03-19,22.0611,24.5011,19.6211
2026-03-20,22.097,24.5409,19.6531
2026-03-23,22.1329,24.5808,19.685
2026-03-24,22.1689,24.6208,19.717
2026-03-25,22.2048,24.6607,19.7489
2026-03-26,22.2407,24.7005,19.7809
2026-03-27,22.2766,24.7404,19.8128
2026-03-30,22.3125,24.7803,19.8447
2026-03-31,22.3484,24.8201,19.8767
2026-04-01,22.3844,24.8601,19.9087
2026-04-02,22.4203,24.9,19.9406
