symbol,name,current_price,day_high,day_low,fifty_two_week_high,fifty_two_week_low,volume,average_volume,market_cap,exchange,currency
NVDA,NVIDIA Corporation,180.25,186.09,179.94,212.19,86.62,156223205,175286096,4380976218112,NMS,USD
AAL,"American Airlines Group, Inc.",10.3,10.65,10.26,16.5,8.5,103929696,64719590,6801137152,NMS,USD
NOK,Nokia Corporation Sponsored,8.24,8.66,8.18,8.66,4.0,80227549,38864703,46000078848,NYQ,USD
BMNR,"BitMine Immersion Technologies,",20.54,22.76,20.49,161.0,3.92,80148881,43930054,9342875648,ASE,USD
ONDS,Ondas Inc,10.16,10.98,10.05,15.28,0.659,72857914,94748975,4572935168,NCM,USD
MARA,"MARA Holdings, Inc.",9.32,10.03,9.1397,23.45,6.66,73011343,45235114,3543786496,NCM,USD
INTC,Intel Corporation,45.77,46.65,45.39,54.6,17.67,67145310,100949763,228629315584,NMS,USD
PLUG,"Plug Power, Inc.",2.15,2.29,2.13,4.58,0.69,62156744,97425890,2997003520,NCM,USD
DNN,Denison Mines Corp,3.82,4.09,3.77,4.43,1.08,59383584,46493234,3427649792,ASE,USD
TSLA,"Tesla, Inc.",391.2,400.16,389.95,498.83,214.25,57338789,64844977,1467951349760,NMS,USD
NIO,NIO Inc.,5.86,5.93,5.6601,8.02,3.02,57679174,45666819,14817943552,NYQ,USD
BBD,Banco Bradesco Sa,3.53,3.73,3.5201,4.29,1.98,53993200,40019218,37314613248,NYQ,USD
SOFI,"SoFi Technologies, Inc.",17.76,18.15,17.53,32.73,8.6,56066831,57247795,22648686592,NMS,USD
NU,Nu Holdings Ltd.,13.89,14.31,13.815,18.98,9.01,55075307,51884309,67445313536,NYQ,USD
PATH,"UiPath, Inc.",11.58,12.16,11.37,19.84,9.38,44340569,33535788,6192401408,NYQ,USD
SNAP,Snap Inc.,4.56,4.72,4.52,10.41,4.52,42552627,48139822,7701620736,NYQ,USD
OPEN,Opendoor Technologies Inc,4.95,5.085,4.7445,10.87,0.508,42965784,54870813,4743711232,NMS,USD
F,Ford Motor Company,11.67,12.12,11.65,14.8,8.44,41734667,63262296,46557175808,NYQ,USD
HIMS,"Hims & Hers Health, Inc.",24.77,24.82,23.25,70.43,13.74,40505168,30754540,5646043136,NYQ,USD
PLTR,Palantir Technologies Inc.,150.95,154.56,148.5801,207.52,66.12,42212989,48609539,361023438848,NMS,USD
MU,"Micron Technology, Inc.",426.13,429.35,413.0,455.5,61.54,39072307,34964886,479613255680,NMS,USD
HBAN,Huntington Bancshares Incorpora,15.21,15.75,15.21,19.46,11.92,37077669,32822759,30873141248,NMS,USD
AUR,"Aurora Innovation, Inc.",4.08,4.39,4.0701,8.25,3.6,34173356,17514383,7951157760,NMS,USD
RIG,Transocean Ltd (Switzerland),6.36,6.4696,6.255,6.96,1.97,36500454,44540486,7014118400,NYQ,USD
IREN,IREN LIMITED,41.58,44.15,41.015,76.87,5.125,34289636,38288275,13794546688,NMS,USD
BAC,Bank of America Corporation,46.72,47.8201,46.655,57.55,33.07,33340859,41129501,341172617216,NYQ,USD
PBR,Petroleo Brasileiro S.A. Petrob,18.57,18.965,18.55,19.29,11.03,32885060,26071767,119671881728,NYQ,USD
HOOD,"Robinhood Markets, Inc.",73.39,77.63,72.795,153.86,29.66,33165656,28216904,66073632768,NMS,USD
BTG,B2Gold Corp,4.85,5.1,4.82,6.29,2.53,31138761,39224340,6484662272,ASE,USD
PFE,"Pfizer, Inc.",26.58,27.28,26.575,27.94,20.92,34227655,47127801,151140990976,NYQ,USD
CIFR,Cipher Digital Inc.,14.08,15.16,13.9539,25.52,1.86,36847958,29871511,5704080896,NMS,USD
